baseId,topic,question,level,optionA,optionB,optionC,optionD,correctOption,explanation
q1001,Système Solaire,"Combien de planètes y a-t-il dans le Système Solaire?",1,7,8,9,10,B,"Le Système Solaire compte 8 planètes : Mercure, Vénus, Terre, Mars, Jupiter, Saturne, Uranus et Neptune. Pluton a été reclassée comme planète naine en 2006."
q1002,Système Solaire,"Quelle est la planète la plus proche du Soleil?",1,Mercure,Vénus,Terre,Mars,A,"Mercure est la planète la plus proche du Soleil, orbitant à une distance moyenne de 57,9 millions de kilomètres."
q1003,Lune,"Combien de temps la Lune met-elle pour compléter une orbite autour de la Terre?",1,7 jours,27 jours,30 jours,365 jours,B,"La Lune met environ 27,3 jours pour compléter une orbite autour de la Terre, période appelée mois sidéral."
q1004,Système Solaire,"Quelle planète est connue comme la Planète Rouge?",1,Mars,Vénus,Jupiter,Saturne,A,"Mars est appelée la Planète Rouge en raison de l'oxyde de fer (rouille) présent sur sa surface, lui donnant une coloration rougeâtre."
q1005,Soleil,"Le Soleil est-il une étoile ou une planète?",1,Planète,Étoile,Satellite,Astéroïde,B,"Le Soleil est une étoile de classe G, de type naine jaune, qui fournit lumière et énergie au Système Solaire par fusion nucléaire."
q1006,Système Solaire,"Quelle est la plus grande planète du Système Solaire?",1,Terre,Saturne,Jupiter,Neptune,C,"Jupiter est la plus grande planète du Système Solaire, avec un diamètre d'environ 143 000 km, pouvant contenir plus de 1 300 Terres dans son volume."
q1007,Lune,"Pourquoi voyons-nous toujours le même côté de la Lune depuis la Terre?",2,Rotation synchrone,La Lune ne tourne pas,Forte gravité terrestre,Illusion optique,A,"La Lune a une rotation synchrone avec sa révolution autour de la Terre, prenant le même temps pour tourner sur elle-même et orbiter notre planète."
q1008,Système Solaire,"Quelle planète a des anneaux visibles depuis la Terre?",1,Jupiter,Saturne,Uranus,Neptune,B,"Saturne est célèbre pour ses spectaculaires anneaux visibles depuis la Terre, composés principalement de glace et de roches."
q1010,Système Solaire,"Quelle est la plus petite planète du Système Solaire?",1,Mercure,Mars,Vénus,Pluton,A,"Mercure est la plus petite planète du Système Solaire, avec un diamètre d'environ 4 879 km, à peine plus grande que notre Lune."
q1011,Terre,"Qu'est-ce qui cause les saisons sur Terre?",2,Distance du Soleil,Inclinaison de l'axe terrestre,Vitesse de rotation,Nuages,B,"Les saisons sont causées par l'inclinaison de 23,5 degrés de l'axe terrestre, faisant que différents hémisphères reçoivent plus de lumière solaire à différentes périodes de l'année."
q1012,Lune,"Qu'est-ce qu'une éclipse lunaire?",2,Le Soleil bloque la Lune,La Terre bloque la lumière du Soleil,La Lune bloque le Soleil,Mars passe devant,B,"Une éclipse lunaire se produit lorsque la Terre est entre le Soleil et la Lune, bloquant la lumière solaire qui illumine normalement la Lune."
q1013,Système Solaire,"Quelle planète est connue pour avoir la Grande Tache Rouge?",1,Mars,Jupiter,Saturne,Neptune,B,"La Grande Tache Rouge est une tempête géante sur Jupiter qui existe depuis au moins 400 ans et est assez grande pour contenir 2-3 Terres."
q1014,Astronomie,"Qu'est-ce qu'une constellation?",1,Groupe de galaxies,Motif d'étoiles dans le ciel,Type d'astéroïde,Système planétaire,B,"Une constellation est un motif reconnaissable d'étoiles dans le ciel nocturne, historiquement utilisé pour la navigation et l'identification."
q1016,Soleil,"Quelle est la source d'énergie du Soleil?",2,Combustion de gaz,Fusion nucléaire,Fission nucléaire,Électricité,B,"Le Soleil produit de l'énergie par fusion nucléaire d'atomes d'hydrogène en hélium dans son noyau, libérant une énergie énorme dans le processus."
q1017,Système Solaire,"Combien de lunes Mars possède-t-elle?",2,0,1,2,4,C,"Mars possède deux petites lunes : Phobos et Déimos, découvertes en 1877 par Asaph Hall."
q1018,Terre,"Combien de temps la lumière du Soleil met-elle pour atteindre la Terre?",2,8 secondes,8 minutes,8 heures,8 jours,B,"La lumière solaire met environ 8 minutes et 20 secondes pour parcourir les 150 millions de kilomètres entre le Soleil et la Terre."
q1019,Système Solaire,"Quelle planète tourne couchée sur le côté?",2,Mars,Jupiter,Uranus,Neptune,C,"Uranus a une inclinaison axiale de 98 degrés, la faisant tourner pratiquement couchée sur le côté par rapport au plan de son orbite."
q1020,Lune,"Qu'est-ce qui cause les marées dans les océans terrestres?",2,Vent,Gravité de la Lune,Rotation de la Terre,Tremblements de terre,B,"Les marées sont principalement causées par l'attraction gravitationnelle de la Lune sur les océans terrestres, créant deux bourrelets d'eau."
q1021,Étoiles,"Quelle est la couleur d'une étoile plus chaude?",2,Rouge,Jaune,Blanche,Bleue,D,"Les étoiles bleues sont les plus chaudes (au-dessus de 30 000K), tandis que les étoiles rouges sont les plus froides (environ 3 000K). Le Soleil jaune a une température intermédiaire."
q1022,Système Solaire,"Quelle planète a le plus de lunes connues?",2,Terre,Mars,Jupiter,Saturne,D,"Saturne possède le plus grand nombre de lunes confirmées, avec plus de 140 satellites naturels connus, dépassant Jupiter."
q1023,Astronomie,"Qu'est-ce qu'une comète?",1,Étoile filante,Boule de glace et de roche,Petite planète,Lune géante,B,"Une comète est un corps céleste composé de glace, de roches et de poussière qui développe une queue brillante lorsqu'elle s'approche du Soleil."
q1024,Voie Lactée,"Dans quelle galaxie le Système Solaire est-il situé?",1,Andromède,Voie Lactée,Triangle,Sombrero,B,"Le Système Solaire est situé dans la galaxie Voie Lactée, plus précisément dans le Bras d'Orion, à environ 26 000 années-lumière du centre galactique."
q1025,Système Solaire,"Quelle planète a le jour le plus long?",2,Mercure,Vénus,Terre,Jupiter,B,"Vénus a le jour le plus long de toutes les planètes, prenant 243 jours terrestres pour compléter une rotation, plus long que sa révolution de 225 jours."
q1026,Lune,"Combien de phases principales la Lune a-t-elle?",1,2,4,6,8,B,"La Lune a 4 phases principales : Nouvelle, Croissante, Pleine et Décroissante, complétant un cycle en environ 29,5 jours."
q1027,Terre,"Quel est le nom du mouvement de la Terre autour du Soleil?",1,Rotation,Révolution,Précession,Nutation,B,"La révolution est le mouvement de la Terre autour du Soleil, qui prend 365,25 jours pour se compléter et cause les saisons."
