base_id,locale,question,option_a,option_b,option_c,option_d,correct_option,explanation,level,topic
astro_00001,en,"According to recent theories, what might explain the Fermi Paradox?",Tectonic plates are rare,Advanced AI becomes the great filter,Civilizations destroy themselves,All of the above,D,"Recent theories suggest multiple explanations including rare tectonic plates, AI as a filter, and self-destruction of civilizations.",4,Galaxies & Cosmology
astro_00002,en,Approximately how many stars are in the Milky Way galaxy?,100 million,1 billion,100 billion,1 trillion,C,"The Milky Way contains an estimated 100-400 billion stars, with 100 billion being a commonly cited figure.",3,Galaxies & Cosmology
astro_00166,en,What is the James Webb Space Telescope's contribution to exoplanet science?,Finding new exoplanets,Studying exoplanet atmospheres,Measuring exoplanet masses,Calculating exoplanet orbits,B,JWST specializes in studying exoplanet atmospheres using infrared spectroscopy to analyze their composition.,3,Worlds Beyond
astro_00167,en,What is the James Webb Space Telescope's exoplanet capability?,Detailed atmospheric spectroscopy,Direct imaging of all exoplanets,Detecting Earth-sized planets,Measuring planetary masses,A,JWST can perform detailed atmospheric spectroscopy of exoplanets revealing their composition and properties.,2,Worlds Beyond
astro_00168,en,What is the Kirkwood gaps?,Empty regions in the asteroid belt,Gaps in Saturn's rings,Spaces between planets,Holes in comets,A,Kirkwood gaps are regions in the asteroid belt with few asteroids due to gravitational resonances with Jupiter.,5,Small Solar System Bodies
astro_00169,en,What is the Kozai mechanism?,Orbital resonance effect,Tidal heating process,Magnetic field interaction,Atmospheric escape mechanism,A,The Kozai mechanism describes how gravitational perturbations can cause periodic changes in orbital eccentricity and inclination.,5,Solar System
astro_00170,en,What is the Kuiper Belt?,A region of asteroids,A region of comets beyond Neptune,A type of comet,A spacecraft mission,B,The Kuiper Belt is a region beyond Neptune containing many icy bodies and short-period comets.,4,Small Solar System Bodies
astro_00171,en,What is the Lagrange point L2?,A point between Earth and Moon,A point 1.5 million km from Earth,A point on Earth's surface,A point near the Sun,B,Lagrange point L2 is located about 1.5 million kilometers from Earth opposite the Sun where JWST operates.,5,Space Observation
astro_00172,en,What is the largest optical telescope currently in operation?,Hubble Space Telescope,Keck Observatory,Very Large Telescope,Extremely Large Telescope,C,The Very Large Telescope (VLT) in Chile is currently among the largest optical telescopes in operation.,4,Space Observation
astro_00173,en,What is the largest planet in our Solar System?,Earth,Mars,Jupiter,Saturn,C,Jupiter is the largest planet in our Solar System with a mass greater than all other planets combined.,1,Solar System
astro_00174,en,What is the Laser Interferometer Space Antenna (LISA)?,Space-based gravitational wave detector,Optical space telescope,Radio telescope array,Particle physics experiment,A,LISA will be a space-based gravitational wave detector using laser interferometry between three spacecraft.,5,Space Observation
astro_00175,en,What is the LISA mission designed to detect?,Gravitational waves from space,Exoplanet atmospheres,Solar neutrinos,Cosmic rays,A,LISA (Laser Interferometer Space Antenna) will detect gravitational waves from space using laser interferometry.,4,Space Missions
astro_00295,en,Which element is most abundant in the universe?,Oxygen,Carbon,Hydrogen,Helium,C,Hydrogen is the most common element in the universe.,1,Relativity & Fundamental Physics
