baseId,topic,question,level,optionA,optionB,optionC,optionD,correctOption,explanation
astro_00001,Galáxias e Cosmologia,"De acordo com teorias recentes, o que poderia explicar o Paradoxo de Fermi?",4,"Placas tectônicas são raras","IA avançada se torna o grande filtro","As civilizações se destroem sozinhas","Todas as alternativas acima",D,"Teorias recentes sugerem várias explicações, incluindo placas tectônicas raras, IA como filtro e autodestruição das civilizações."
astro_00002,Galáxias e Cosmologia,"Aproximadamente quantas estrelas existem na galáxia Via Láctea?",3,100 milhões,1 bilhão,100 bilhões,1 trilhão,C,"A Via Láctea contém cerca de 100 a 400 bilhões de estrelas; 100 bilhões é um valor comumente citado."
astro_00166,Mundos Além,"Qual é a contribuição do Telescópio Espacial James Webb para a ciência de exoplanetas?",3,"Encontrar novos exoplanetas","Estudar atmosferas de exoplanetas","Medir massas de exoplanetas","Calcular órbitas de exoplanetas",B,"O JWST se destaca em estudar atmosferas de exoplanetas com espectroscopia infravermelha, analisando sua composição."
astro_00167,Mundos Além,"Qual é a principal capacidade do James Webb para exoplanetas?",2,"Espectroscopia atmosférica detalhada","Imagem direta de todos os exoplanetas","Detectar planetas do tamanho da Terra","Medir massas planetárias",A,"O JWST pode fazer espectroscopia atmosférica detalhada de exoplanetas, revelando composição e propriedades."
astro_00168,Corpos Pequenos do Sistema Solar,"O que são as lacunas de Kirkwood?",5,"Regiões vazias no cinturão de asteroides","Vazios nos anéis de Saturno","Espaços entre planetas","Buracos em cometas",A,"Lacunas de Kirkwood são regiões do cinturão de asteroides com poucos objetos, causadas por ressonâncias gravitacionais com Júpiter."
astro_00169,Sistema Solar,"O que é o mecanismo de Kozai?",5,"Efeito de ressonância orbital","Processo de aquecimento por marés","Interação de campo magnético","Mecanismo de escape atmosférico",A,"O mecanismo de Kozai descreve como perturbações gravitacionais podem causar variações periódicas de excentricidade e inclinação orbital."
astro_00170,Corpos Pequenos do Sistema Solar,"O que é o Cinturão de Kuiper?",4,"Uma região de asteroides","Uma região de cometas além de Netuno","Um tipo de cometa","Uma missão espacial",B,"O Cinturão de Kuiper é uma região além de Netuno com muitos corpos gelados e cometas de curto período."
astro_00171,Observação Espacial,"O que é o ponto de Lagrange L2?",5,"Um ponto entre a Terra e a Lua","Um ponto a 1,5 milhão de km da Terra","Um ponto na superfície da Terra","Um ponto perto do Sol",B,"O ponto de Lagrange L2 fica a ~1,5 milhão de km da Terra, oposto ao Sol, onde opera o JWST."
astro_00172,Observação Espacial,"Qual é o maior telescópio óptico atualmente em operação?",4,"Telescópio Espacial Hubble","Observatório Keck","Very Large Telescope","Extremely Large Telescope",C,"O Very Large Telescope (VLT), no Chile, está entre os maiores telescópios ópticos em operação."
astro_00173,Sistema Solar,"Qual é o maior planeta do Sistema Solar?",1,Terra,Marte,Júpiter,Saturno,C,"Júpiter é o maior planeta do Sistema Solar, com massa maior que todos os outros planetas combinados."
astro_00174,Observação Espacial,"O que é a LISA (Laser Interferometer Space Antenna)?",5,"Detector espacial de ondas gravitacionais","Telescópio espacial óptico","Arranjo de radiotelescópios","Experimento de física de partículas",A,"A LISA será um detector espacial de ondas gravitacionais usando interferometria a laser entre três espaçonaves."
astro_00175,Missões Espaciais,"Para que a missão LISA foi projetada?",4,"Detectar ondas gravitacionais do espaço","Analisar atmosferas de exoplanetas","Medir neutrinos solares","Captar raios cósmicos",A,"A LISA (Laser Interferometer Space Antenna) detectará ondas gravitacionais no espaço por meio de interferometria a laser."
astro_00295,Relatividade e Física Fundamental,"Qual é o elemento mais abundante no universo?",1,Oxigênio,Carbono,Hidrogênio,Hélio,C,"O hidrogênio é o elemento mais comum do universo."
