baseId,topic,question,level,optionA,optionB,optionC,optionD,correctOption,explanation
q1001,Sistema Solar,"¿Cuántos planetas hay en el Sistema Solar?",1,7,8,9,10,B,"El Sistema Solar tiene 8 planetas: Mercurio, Venus, Tierra, Marte, Júpiter, Saturno, Urano y Neptuno. Plutón fue reclasificado como planeta enano en 2006."
q1002,Sistema Solar,"¿Cuál es el planeta más cercano al Sol?",1,Mercurio,Venus,Tierra,Marte,A,"Mercurio es el planeta más cercano al Sol, orbitando a una distancia promedio de 57,9 millones de kilómetros."
q1003,Luna,"¿Cuánto tiempo tarda la Luna en completar una órbita alrededor de la Tierra?",1,7 días,27 días,30 días,365 días,B,"La Luna tarda aproximadamente 27,3 días en completar una órbita alrededor de la Tierra, período llamado mes sideral."
q1004,Sistema Solar,"¿Qué planeta es conocido como el Planeta Rojo?",1,Marte,Venus,Júpiter,Saturno,A,"Marte es llamado el Planeta Rojo debido al óxido de hierro (herrumbre) presente en su superficie, que le da una coloración rojiza."
q1005,Sol,"¿El Sol es una estrella o un planeta?",1,Planeta,Estrella,Satélite,Asteroide,B,"El Sol es una estrella de clase G, del tipo enana amarilla, que proporciona luz y energía al Sistema Solar a través de fusión nuclear."
q1006,Sistema Solar,"¿Cuál es el planeta más grande del Sistema Solar?",1,Tierra,Saturno,Júpiter,Neptuno,C,"Júpiter es el planeta más grande del Sistema Solar, con un diámetro de aproximadamente 143.000 km, pudiendo contener más de 1.300 Tierras en su volumen."
q1007,Luna,"¿Por qué vemos siempre el mismo lado de la Luna desde la Tierra?",2,Rotación sincronizada,La Luna no gira,Gravedad terrestre fuerte,Ilusión óptica,A,"La Luna tiene rotación sincronizada con su traslación alrededor de la Tierra, tardando el mismo tiempo en girar sobre sí misma y orbitar nuestro planeta."
q1008,Sistema Solar,"¿Qué planeta tiene anillos visibles desde la Tierra?",1,Júpiter,Saturno,Urano,Neptuno,B,"Saturno es famoso por sus espectaculares anillos visibles desde la Tierra, compuestos principalmente de hielo y rocas."
q1010,Sistema Solar,"¿Cuál es el planeta más pequeño del Sistema Solar?",1,Mercurio,Marte,Venus,Plutón,A,"Mercurio es el planeta más pequeño del Sistema Solar, con un diámetro de aproximadamente 4.879 km, solo un poco más grande que nuestra Luna."
q1011,Tierra,"¿Qué causa las estaciones del año en la Tierra?",2,Distancia del Sol,Inclinación del eje terrestre,Velocidad de rotación,Nubes,B,"Las estaciones son causadas por la inclinación de 23,5 grados del eje terrestre, haciendo que diferentes hemisferios reciban más luz solar en diferentes épocas del año."
q1012,Luna,"¿Qué es un eclipse lunar?",2,El Sol bloquea la Luna,La Tierra bloquea la luz del Sol,La Luna bloquea el Sol,Marte pasa por delante,B,"El eclipse lunar ocurre cuando la Tierra queda entre el Sol y la Luna, bloqueando la luz solar que normalmente ilumina la Luna."
q1013,Sistema Solar,"¿Qué planeta es conocido por tener la Gran Mancha Roja?",1,Marte,Júpiter,Saturno,Neptuno,B,"La Gran Mancha Roja es una tormenta gigante en Júpiter que existe desde hace al menos 400 años y tiene tamaño suficiente para contener 2-3 Tierras."
q1014,Astronomía,"¿Qué es una constelación?",1,Grupo de galaxias,Patrón de estrellas en el cielo,Tipo de asteroide,Sistema planetario,B,"Una constelación es un patrón reconocible de estrellas en el cielo nocturno, usado históricamente para navegación e identificación."
q1016,Sol,"¿Cuál es la fuente de energía del Sol?",2,Combustión de gas,Fusión nuclear,Fisión nuclear,Electricidad,B,"El Sol produce energía a través de la fusión nuclear de átomos de hidrógeno en helio en su núcleo, liberando enorme energía en el proceso."
q1017,Sistema Solar,"¿Cuántas lunas tiene Marte?",2,0,1,2,4,C,"Marte tiene dos pequeñas lunas: Fobos y Deimos, descubiertas en 1877 por Asaph Hall."
q1018,Tierra,"¿Cuánto tiempo tarda la luz del Sol en llegar a la Tierra?",2,8 segundos,8 minutos,8 horas,8 días,B,"La luz solar tarda aproximadamente 8 minutos y 20 segundos en recorrer los 150 millones de kilómetros entre el Sol y la Tierra."
q1019,Sistema Solar,"¿Qué planeta gira acostado de lado?",2,Marte,Júpiter,Urano,Neptuno,C,"Urano tiene una inclinación axial de 98 grados, haciendo que gire prácticamente acostado de lado respecto al plano de su órbita."
q1020,Luna,"¿Qué causa las mareas en los océanos de la Tierra?",2,Viento,Gravedad de la Luna,Rotación de la Tierra,Terremotos,B,"Las mareas son causadas principalmente por la atracción gravitacional de la Luna sobre los océanos terrestres, creando dos protuberancias de agua."
q1021,Estrellas,"¿Cuál es el color de una estrella más caliente?",2,Roja,Amarilla,Blanca,Azul,D,"Las estrellas azules son las más calientes (por encima de 30.000K), mientras que las estrellas rojas son las más frías (cerca de 3.000K). El Sol amarillo tiene temperatura intermedia."
q1022,Sistema Solar,"¿Qué planeta tiene más lunas conocidas?",2,Tierra,Marte,Júpiter,Saturno,D,"Saturno tiene el mayor número de lunas confirmadas, con más de 140 satélites naturales conocidos, superando a Júpiter."
q1023,Astronomía,"¿Qué es un cometa?",1,Estrella fugaz,Bola de hielo y roca,Planeta pequeño,Luna gigante,B,"Un cometa es un cuerpo celeste compuesto de hielo, rocas y polvo que desarrolla una cola brillante cuando se acerca al Sol."
q1024,Vía Láctea,"¿En qué galaxia está ubicado el Sistema Solar?",1,Andrómeda,Vía Láctea,Triángulo,Sombrero,B,"El Sistema Solar está ubicado en la galaxia Vía Láctea, más específicamente en el Brazo de Orión, a cerca de 26.000 años luz del centro galáctico."
q1025,Sistema Solar,"¿Qué planeta tiene el día más largo?",2,Mercurio,Venus,Tierra,Júpiter,B,"Venus tiene el día más largo de todos los planetas, tardando 243 días terrestres en completar una rotación, más tiempo que su traslación de 225 días."
q1026,Luna,"¿Cuántas fases principales tiene la Luna?",1,2,4,6,8,B,"La Luna tiene 4 fases principales: Nueva, Creciente, Llena y Menguante, completando un ciclo en aproximadamente 29,5 días."
q1027,Tierra,"¿Cuál es el nombre del movimiento de la Tierra alrededor del Sol?",1,Rotación,Traslación,Precesión,Nutación,B,"Traslación es el movimiento de la Tierra alrededor del Sol, que tarda 365,25 días en completarse y causa las estaciones del año."
q1028,Sistema Solar,"¿Cuál es la luna más grande del Sistema Solar?",2,Nuestra Luna,Europa,Titán,Ganimedes,D,"Ganimedes, luna de Júpiter, es la luna más grande del Sistema Solar con 5.268 km de diámetro, más grande incluso que el planeta Mercurio."
q1029,Astronomía,"¿Qué es una estrella fugaz?",1,Estrella cayendo,Meteoro entrando en la atmósfera,Cometa pasando,Satélite artificial,B,"Una estrella fugaz es en realidad un meteoro, pequeño fragmento de roca o metal que se quema al entrar a alta velocidad en la atmósfera terrestre."
q1030,Sistema Solar,"¿Qué planeta es conocido por sus anillos?",1,Marte,Júpiter,Saturno,Venus,C,"Saturno es famoso por su magnífico sistema de anillos, visible incluso con pequeños telescopios desde la Tierra."
