baseId ,topic,question,level,optionA,optionB,optionC,optionD,correctOption,explanation
astro_00001,Galaxies & Cosmology,"According to recent theories, what might explain the Fermi Paradox?",4,Tectonic plates are rare,Advanced AI becomes the great filter,Civilizations destroy themselves,All of the above,D,"Recent theories suggest multiple explanations including rare tectonic plates, AI as a filter, and self-destruction of civilizations."
astro_00002,Galaxies & Cosmology,Approximately how many stars are in the Milky Way galaxy?,3,100 million,1 billion,100 billion,1 trillion,C,"The Milky Way contains an estimated 100-400 billion stars, with 100 billion being a commonly cited figure."
astro_00003,Stellar Objects,How are stellar-mass black holes formed,4,From colliding galaxies,From collapsing massive stars,From frozen planets,From white dwarfs cooling,B,Stellar-mass Stellar Objects form when massive stars collapse after a supernova.
astro_00004,Galaxies & Cosmology,How does SETI use the Drake Equation?,5,Framework for research priorities,Calculation of exact numbers,Prediction of contact time,Design of detection equipment,A,SETI uses the Drake Equation as a framework for setting research priorities and strategies.
astro_00005,Galaxies & Cosmology,How does the Drake Equation relate to the Fermi Paradox?,5,They contradict each other,They support each other,They address the same question,They are unrelated,C,Both the Drake Equation and Fermi Paradox address the question of why we haven't detected extraterrestrial intelligence.
astro_00006,Scientists,How long did both Albert Einstein and Stephen Hawking live?,5,74 years,76 years,78 years,80 years,B,Both Albert Einstein (1879-1955) and Stephen Hawking (1942-2018) lived for exactly 76 years.
astro_00007,Solar System,How long has the Curiosity rover been operating on Mars as of 2025?,5,11 years,13 years,15 years,17 years,B,The Curiosity rover has been operating on Mars for 13 years since landing in 2012.
astro_00008,General Curiosities,How long is a day on Venus?,3,24 hours,243 Earth days,365 Earth days,1 Earth year,B,A day on Venus (one rotation) takes 243 Earth days longer than its year of 225 Earth days.
astro_00009,General Curiosities,How many atoms are estimated in the observable universe?,5,About 10^80,About 10^50,About 10^100,About 10^120,A,The observable universe is estimated to contain approximately 10^80 atoms.
astro_00010,General Curiosities,How many Earths could fit inside the Sun?,4,100,1000,100000,1.3 million,D,Approximately 1.3 million Earths could fit inside the Sun based on volume.
astro_00011,General Curiosities,How many galaxies are estimated to be in the observable universe?,4,Millions,Billions,Hundreds of billions,Trillions,D,Current estimates suggest there are over 2 trillion galaxies in the observable universe.
astro_00012,Solar System,How many moons does Jupiter have according to the latest 2024 NASA data?,3,79,82,95,103,C,"Jupiter has 95 moons according to the latest 2024 NASA data, making it the planet with the most known moons."
astro_00013,Solar System,How many moons does Saturn have according to current data?,3,62,72,82,92,C,Saturn has 82 known moons according to current astronomical data.
astro_00014,Worlds Beyond,How many new alien worlds were discovered by astronomers in 2025?,5,Over 50,Over 75,Over 100,Over 150,C,"Astronomers discovered over 100 new alien worlds in 2025, showcasing the vast diversity of planetary systems."
astro_00015,General Curiosities,How many officially recognized constellations are there?,3,48,88,108,144,B,There are 88 officially recognized constellations as defined by the International Astronomical Union.
astro_00016,General Curiosities,How old is the Universe approximately?,2,4.6 billion years,13.8 billion years,20 billion years,100 billion years,B,"The Universe is approximately 13.8 billion years old, based on observations of the cosmic microwave background."
astro_00017,Solar System,In which crater did the Perseverance rover land on Mars?,5,Gale Crater,Jezero Crater,Victoria Crater,Eagle Crater,B,NASA's Perseverance rover landed in Jezero Crater in February 2021 to search for signs of ancient life.
astro_00018,Small Solar System Bodies,What are carbonaceous chondrites?,2,Primitive meteorites with organic compounds,Iron meteorites,Stony meteorites,Martian meteorites,A,Carbonaceous chondrites are primitive meteorites containing organic compounds and water-bearing minerals.
astro_00019,Small Solar System Bodies,What are comets primarily made of?,2,Rock and metal,Ice and dust,Gas and plasma,Pure ice,B,"Comets are ""dirty snowballs"" made primarily of ice, dust, and rocky material from the outer Solar System."
astro_00020,Relativity & Fundamental Physics,What are gravitational waves?,2,Waves in space,Ripples in spacetime,Sound waves in space,Light waves bent by gravity,B,Gravitational waves are ripples in spacetime itself caused by accelerating massive objects.
astro_00021,Stellar Objects,What are the two main types of molecular clouds associated with star formation?,4,Giant and dwarf molecular clouds,Hot and cold molecular clouds,Dense and sparse molecular clouds,Young and old molecular clouds,A,Giant molecular clouds (GMCs) and dwarf molecular clouds are the two main types associated with star formation.
astro_00022,Small Solar System Bodies,What are Trojan asteroids?,2,Asteroids that follow planets,Asteroids from Troy,Asteroids that orbit backwards,Asteroids made of metal,A,Trojan asteroids share an orbit with a planet staying at stable Lagrange points 60 degrees ahead or behind.
astro_00023,Relativity & Fundamental Physics,What astronomical phenomenon provided the first confirmation of general relativity?,1,Solar eclipse observations,Planetary motion,Star formation,Galaxy rotation,A,"The 1919 solar eclipse observations showed light bending around the Sun, confirming Einstein's prediction of gravitational lensing."
astro_00024,Solar System,What causes the auroras on Jupiter?,1,Solar wind interaction,Volcanic activity on Io,Jupiter's rapid rotation,Gravitational tidal forces,A,Jupiter's auroras are caused by charged particles from the solar wind interacting with Jupiter's powerful magnetic field.
astro_00025,Stellar Objects,What color are the hottest stars?,3,Red,Yellow,White,Blue,D,"The hottest stars appear blue or blue-white, with surface temperatures exceeding 30,000 Kelvin."
