baseId ,topic,level,question,optionA,optionB,optionC,optionD,correctOption,explanation,language
astro_00001,Galaxies & Cosmology,5,"According to recent theories, what might explain the Fermi Paradox?",Tectonic plates are rare,Advanced AI becomes the great filter,Civilizations destroy themselves,All of the above,D,"Recent theories suggest multiple explanations including rare tectonic plates, AI as a filter, and self-destruction of civilizations.",en
astro_00002,Galaxies & Cosmology,6,Approximately how many stars are in the Milky Way galaxy?,100 million,1 billion,100 billion,1 trillion,C,"The Milky Way contains an estimated 100-400 billion stars, with 100 billion being a commonly cited figure.",en
astro_00003,Stellar Objects,6,How are stellar-mass Stellar Objects formed?,From merging galaxies,From collapsing massive stars,From frozen planets,From white dwarfs cooling,B,Stellar-mass Stellar Objects form when massive stars collapse after a supernova.,en
astro_00004,Galaxies & Cosmology,9,How does SETI use the Drake Equation?,Framework for research priorities,Calculation of exact numbers,Prediction of contact time,Design of detection equipment,A,SETI uses the Drake Equation as a framework for setting research priorities and strategies.,en
astro_00005,Galaxies & Cosmology,8,How does the Drake Equation relate to the Fermi Paradox?,They contradict each other,They support each other,They address the same question,They are unrelated,C,Both the Drake Equation and Fermi Paradox address the question of why we haven't detected extraterrestrial intelligence.,en
astro_00006,Scientists,9,How long did both Albert Einstein and Stephen Hawking live?,74 years,76 years,78 years,80 years,B,Both Albert Einstein (1879-1955) and Stephen Hawking (1942-2018) lived for exactly 76 years.,en
astro_00007,Solar System,9,How long has the Curiosity rover been operating on Mars as of 2025?,11 years,13 years,15 years,17 years,B,The Curiosity rover has been operating on Mars for 13 years since landing in 2012.,en
astro_00008,General Curiosities,3,How long is a day on Venus?,24 hours,243 Earth days,365 Earth days,1 Earth year,B,A day on Venus (one rotation) takes 243 Earth days longer than its year of 225 Earth days.,en
astro_00009,General Curiosities,5,How many atoms are estimated in the observable universe?,About 10^80,About 10^50,About 10^100,About 10^120,A,The observable universe is estimated to contain approximately 10^80 atoms.,en
astro_00010,General Curiosities,5,How many Earths could fit inside the Sun?,100,1000,100000,1.3 million,D,Approximately 1.3 million Earths could fit inside the Sun based on volume.,en
astro_00011,General Curiosities,3,How many galaxies are estimated to be in the observable universe?,Millions,Billions,Hundreds of billions,Trillions,D,Current estimates suggest there are over 2 trillion galaxies in the observable universe.,en
astro_00012,Solar System,2,How many moons does Jupiter have according to the latest 2024 NASA data?,79,82,95,103,C,"Jupiter has 95 moons according to the latest 2024 NASA data, making it the planet with the most known moons.",en
astro_00013,Solar System,2,How many moons does Saturn have according to current data?,62,72,82,92,C,Saturn has 82 known moons according to current astronomical data.,en
astro_00014,Worlds Beyond,3,How many new alien worlds were discovered by astronomers in 2025?,Over 50,Over 75,Over 100,Over 150,C,"Astronomers discovered over 100 new alien worlds in 2025, showcasing the vast diversity of planetary systems.",en
astro_00015,General Curiosities,3,How many officially recognized constellations are there?,48,88,108,144,B,There are 88 officially recognized constellations as defined by the International Astronomical Union.,en
astro_00016,General Curiosities,2,How old is the Universe approximately?,4.6 billion years,13.8 billion years,20 billion years,100 billion years,B,"The Universe is approximately 13.8 billion years old, based on observations of the cosmic microwave background.",en
astro_00017,Solar System,3,In which crater did the Perseverance rover land on Mars?,Gale Crater,Jezero Crater,Victoria Crater,Eagle Crater,B,NASA's Perseverance rover landed in Jezero Crater in February 2021 to search for signs of ancient life.,en
astro_00018,Small Solar System Bodies,4,What are carbonaceous chondrites?,Primitive meteorites with organic compounds,Iron meteorites,Stony meteorites,Martian meteorites,A,Carbonaceous chondrites are primitive meteorites containing organic compounds and water-bearing minerals.,en
astro_00019,Small Solar System Bodies,2,What are comets primarily made of?,Rock and metal,Ice and dust,Gas and plasma,Pure ice,B,"Comets are ""dirty snowballs"" made primarily of ice, dust, and rocky material from the outer Solar System.",en
astro_00020,Relativity & Fundamental Physics,8,What are gravitational waves?,Waves in space,Ripples in spacetime,Sound waves in space,Light waves bent by gravity,B,Gravitational waves are ripples in spacetime itself caused by accelerating massive objects.,en
astro_00021,Stellar Objects,4,What are the two main types of molecular clouds associated with star formation?,Giant and dwarf molecular clouds,Hot and cold molecular clouds,Dense and sparse molecular clouds,Young and old molecular clouds,A,Giant molecular clouds (GMCs) and dwarf molecular clouds are the two main types associated with star formation.,en
astro_00022,Small Solar System Bodies,6,What are Trojan asteroids?,Asteroids that follow planets,Asteroids from Troy,Asteroids that orbit backwards,Asteroids made of metal,A,Trojan asteroids share an orbit with a planet staying at stable Lagrange points 60 degrees ahead or behind.,en
astro_00023,Relativity & Fundamental Physics,8,What astronomical phenomenon provided the first confirmation of general relativity?,Solar eclipse observations,Planetary motion,Star formation,Galaxy rotation,A,"The 1919 solar eclipse observations showed light bending around the Sun, confirming Einstein's prediction of gravitational lensing.",en
