baseId,topic,level,question,optionA,optionB,optionC,optionD,correctOption,explanation,language,question_pt,optionA_pt,optionB_pt,optionC_pt,optionD_pt,explanation_pt,topic_pt,question_es,optionA_es,optionB_es,optionC_es,optionD_es,explanation_es,topic_es,question_fr,optionA_fr,optionB_fr,optionC_fr,optionD_fr,explanation_fr,topic_fr
astro_00001,Galaxies & Cosmology,5,"According to recent theories, what might explain the Fermi Paradox?",Tectonic plates are rare,Advanced AI becomes the great filter,Civilizations destroy themselves,All of the above,D,"Recent theories suggest multiple explanations including rare tectonic plates, AI as a filter, and self-destruction of civilizations.",en,"De acordo com teorias recentes, o que poderia explicar o Paradoxo de Fermi?",As placas tectônicas são raras,A IA avançada se torna o grande filtro,As civilizações se destroem sozinhas,Todas as opções acima,"Teorias recentes sugerem várias explicações, incluindo placas tectônicas raras, IA como um filtro e autodestruição de civilizações.",Galáxias e Cosmologia,"Según teorías recientes, ¿qué podría explicar la paradoja de Fermi?",Las placas tectónicas son raras,La IA avanzada se convierte en el gran filtro,Las civilizaciones se destruyen a sí mismas,Todos los anteriores,"Teorías recientes sugieren múltiples explicaciones, entre las que se incluyen placas tectónicas poco comunes, la IA como filtro y la autodestrucción de civilizaciones.",Galaxias y cosmología,"Selon les théories récentes, qu'est-ce qui pourrait expliquer le paradoxe de Fermi ?",Les plaques tectoniques sont rares,L'IA avancée devient le grand filtre,Les civilisations se détruisent elles-mêmes,Toutes les réponses ci-dessus,"Les théories récentes suggèrent de multiples explications, notamment des plaques tectoniques rares, l'IA en tant que filtre et l'autodestruction des civilisations.",Galaxies et cosmologie
astro_00002,Galaxies & Cosmology,6,Approximately how many stars are in the Milky Way galaxy?,100 million,1 billion,100 billion,1 trillion,C,"The Milky Way contains an estimated 100-400 billion stars, with 100 billion being a commonly cited figure.",en,"Quantas estrelas, aproximadamente, existem na galáxia Via Láctea?",100 milhões,1 bilhão,100 bilhões,1 trilhão,"A Via Láctea contém cerca de 100 a 400 bilhões de estrelas, sendo 100 bilhões um número comumente citado.",Galáxias e Cosmologia,¿Cuántas estrellas hay aproximadamente en la Vía Láctea?,100 millones,1.000 millones,100.000 millones,1 billón,"Se calcula que la Vía Láctea contiene entre 100.000 y 400.000 millones de estrellas, siendo 100.000 millones la cifra más citada.",Galaxias y cosmología,Combien y a-t-il d'étoiles dans la Voie lactée ?,100 millions d'euros,1 milliard,100 milliards d'euros,1 billion,"La Voie lactée contient environ 100 à 400 milliards d'étoiles, le chiffre de 100 milliards étant couramment cité.",Galaxies et cosmologie
astro_00003,Stellar Objects,6,How are stellar-mass Stellar Objects formed?,From merging galaxies,From collapsing massive stars,From frozen planets,From white dwarfs cooling,B,Stellar-mass Stellar Objects form when massive stars collapse after a supernova.,en,Como são formados os objetos estelares de massa estelar?,Da fusão de galáxias,De estrelas massivas em colapso,De planetas congelados,Do resfriamento das anãs brancas,Os objetos estelares de massa estelar são formados quando estrelas maciças entram em colapso após uma supernova.,Objetos estelares,¿Cómo se forman los objetos estelares de masa estelar?,De galaxias en fusión,De estrellas masivas en colapso,De planetas helados,Del enfriamiento de las enanas blancas,Los objetos estelares de masa estelar se forman cuando las estrellas masivas colapsan tras una supernova.,Objetos estelares,Comment se forment les objets stellaires de masse stellaire ?,De la fusion des galaxies,De l'effondrement d'étoiles massives,Des planètes gelées,Du refroidissement des naines blanches,Les objets stellaires de masse stellaire se forment lorsque des étoiles massives s'effondrent après une supernova.,Objets stellaires
astro_00004,Galaxies & Cosmology,9,How does SETI use the Drake Equation?,Framework for research priorities,Calculation of exact numbers,Prediction of contact time,Design of detection equipment,A,SETI uses the Drake Equation as a framework for setting research priorities and strategies.,en,Como o SETI usa a Equação de Drake?,Estrutura para prioridades de pesquisa,Cálculo de números exatos,Previsão do tempo de contato,Projeto do equipamento de detecção,O SETI utiliza a Equação de Drake como uma estrutura para definir prioridades e estratégias de pesquisa.,Galáxias e Cosmologia,¿Cómo utiliza el SETI la ecuación de Drake?,Marco de prioridades de investigación,Cálculo de números exactos,Predicción del tiempo de contacto,Diseño de equipos de detección,El SETI utiliza la Ecuación de Drake como marco para establecer prioridades y estrategias de investigación.,Galaxias y cosmología,Comment le SETI utilise-t-il l'équation de Drake ?,Cadre pour les priorités de recherche,Calcul de nombres exacts,Prévision du temps de contact,Conception de l'équipement de détection,Le SETI utilise l'équation de Drake comme cadre pour définir les priorités et les stratégies de recherche.,Galaxies et cosmologie
astro_00005,Galaxies & Cosmology,8,How does the Drake Equation relate to the Fermi Paradox?,They contradict each other,They support each other,They address the same question,They are unrelated,C,Both the Drake Equation and Fermi Paradox address the question of why we haven't detected extraterrestrial intelligence.,en,Como a Equação de Drake se relaciona com o Paradoxo de Fermi?,Eles se contradizem,Eles apoiam uns aos outros,Eles abordam a mesma questão,Eles não estão relacionados,Tanto a Equação de Drake quanto o Paradoxo de Fermi abordam a questão de por que não detectamos inteligência extraterrestre.,Galáxias e Cosmologia,¿Cómo se relaciona la ecuación de Drake con la paradoja de Fermi?,Se contradicen,Se apoyan mutuamente,Abordan la misma cuestión,No están relacionados,Tanto la Ecuación de Drake como la Paradoja de Fermi abordan la cuestión de por qué no hemos detectado inteligencia extraterrestre.,Galaxias y cosmología,Quel est le lien entre l'équation de Drake et le paradoxe de Fermi ?,Ils se contredisent,Ils se soutiennent mutuellement,Ils abordent la même question,Ils n'ont aucun lien entre eux,L'équation de Drake et le paradoxe de Fermi répondent tous deux à la question de savoir pourquoi nous n'avons pas détecté d'intelligence extraterrestre.,Galaxies et cosmologie
astro_00006,Scientists,9,How long did both Albert Einstein and Stephen Hawking live?,74 years,76 years,78 years,80 years,B,Both Albert Einstein (1879-1955) and Stephen Hawking (1942-2018) lived for exactly 76 years.,en,Quanto tempo viveram Albert Einstein e Stephen Hawking?,74 anos,76 anos,78 anos,80 anos,Tanto Albert Einstein (1879-1955) quanto Stephen Hawking (1942-2018) viveram exatamente 76 anos.,Cientistas,¿Cuánto tiempo vivieron Albert Einstein y Stephen Hawking?,74 años,76 años,78 años,80 años,Tanto Albert Einstein (1879-1955) como Stephen Hawking (1942-2018) vivieron exactamente 76 años.,Científicos,Combien de temps Albert Einstein et Stephen Hawking ont-ils vécu ?,74 ans,76 ans,78 ans,80 ans,Albert Einstein (1879-1955) et Stephen Hawking (1942-2018) ont tous deux vécu exactement 76 ans.,Scientifiques
astro_00007,Solar System,9,How long has the Curiosity rover been operating on Mars as of 2025?,11 years,13 years,15 years,17 years,B,The Curiosity rover has been operating on Mars for 13 years since landing in 2012.,en,Há quanto tempo o rover Curiosity está operando em Marte desde 2025?,11 anos,13 anos,15 anos,17 anos,"O rover Curiosity está em operação em Marte há 13 anos, desde o pouso em 2012.",Sistema Solar,¿Cuánto tiempo lleva funcionando el rover Curiosity en Marte desde 2025?,11 años,13 años,15 años,17 años,El rover Curiosity lleva 13 años operando en Marte desde su aterrizaje en 2012.,Sistema Solar,Depuis combien de temps le rover Curiosity fonctionne-t-il sur Mars en 2025 ?,11 ans,13 ans,15 ans,17 ans,"Le rover Curiosity est en activité sur Mars depuis 13 ans, depuis son atterrissage en 2012.",Système solaire
astro_00008,General Curiosities,3,How long is a day on Venus?,24 hours,243 Earth days,365 Earth days,1 Earth year,B,A day on Venus (one rotation) takes 243 Earth days longer than its year of 225 Earth days.,en,Quanto tempo dura um dia em Vênus?,24 horas,243 dias terrestres,365 dias terrestres,1 ano terrestre,Um dia em Vênus (uma rotação) leva 243 dias terrestres a mais do que o seu ano de 225 dias terrestres.,Curiosidades gerais,¿Cuánto dura un día en Venus?,24 horas,243 días terrestres,365 días terrestres,1 año terrestre,Un día en Venus (una rotación) dura 243 días terrestres más que su año de 225 días terrestres.,Curiosidades generales,Quelle est la durée d'une journée sur Vénus ?,24 heures,243 jours terrestres,365 jours terrestres,1 année terrestre,Une journée sur Vénus (une rotation) dure 243 jours terrestres de plus que son année de 225 jours terrestres.,Curiosités générales
astro_00009,General Curiosities,5,How many atoms are estimated in the observable universe?,About 10^80,About 10^50,About 10^100,About 10^120,A,The observable universe is estimated to contain approximately 10^80 atoms.,en,Quantos átomos são estimados no universo observável?,Cerca de 10^80,Cerca de 10^50,Cerca de 10^100,Cerca de 10^120,Estima-se que o universo observável contenha aproximadamente 10^80 átomos.,Curiosidades gerais,¿Cuántos átomos se estiman en el universo observable?,Alrededor de 10^80,Alrededor de 10^50,Alrededor de 10^100,Alrededor de 10^120,Se calcula que el universo observable contiene aproximadamente 10^80 átomos.,Curiosidades generales,Combien d'atomes sont estimés dans l'univers observable ?,Environ 10^80,Environ 10^50,Environ 10^100,Environ 10^120,On estime que l'univers observable contient environ 10^80 atomes.,Curiosités générales
astro_00010,General Curiosities,5,How many Earths could fit inside the Sun?,100,1000,100000,1.3 million,D,Approximately 1.3 million Earths could fit inside the Sun based on volume.,en,Quantas Terras caberiam dentro do Sol?,100,1000,100000,"1,3 milhão","Aproximadamente 1,3 milhão de Terras caberiam dentro do Sol com base no volume.",Curiosidades gerais,¿Cuántas Tierras cabrían dentro del Sol?,100,1000,100000,"1,3 millones","Aproximadamente 1,3 millones de Tierras podrían caber dentro del Sol según su volumen.",Curiosidades generales,Combien de Terres pourraient tenir à l'intérieur du Soleil ?,100,1000,100000,"1,3 million d'euros","Environ 1,3 million de Terres pourraient tenir à l'intérieur du Soleil si l'on se base sur le volume.",Curiosités générales
