base_id,locale,question,option_a,option_b,option_c,option_d,correct_option,explanation,level,topic
q0001,pt,"De acordo com teorias recentes, o que poderia explicar o Paradoxo de Fermi?",As placas tectônicas são raras,A IA avançada se torna o grande filtro,As civilizações se destroem sozinhas,Todas as opções acima,D,"Teorias recentes sugerem várias explicações, incluindo placas tectônicas raras, IA como um filtro e autodestruição de civilizações.",5,Galáxias e Cosmologia
q0002,pt,"Quantas estrelas, aproximadamente, existem na galáxia Via Láctea?",100 milhões,1 bilhão,100 bilhões,1 trilhão,C,"A Via Láctea contém cerca de 100 a 400 bilhões de estrelas, sendo 100 bilhões um número comumente citado.",3,Galáxias e Cosmologia
q0003,pt,Como os buracos negros de massa estelar são formados?,Da fusão de galáxias,De estrelas massivas em colapso,De planetas congelados,Do resfriamento das anãs brancas,B,Os buracos negros de massa estelar se formam quando estrelas maciças entram em colapso após uma supernova.,4,Objetos estelares
q1001,pt,Quantos planetas existem no Sistema Solar?,7,8,9,10,B,"O Sistema Solar possui 8 planetas: Mercúrio, Vênus, Terra, Marte, Júpiter, Saturno, Urano e Netuno. Plutão foi reclassificado como planeta anão em 2006.",1,Sistema Solar
q1002,pt,Qual é o planeta mais próximo do Sol?,Mercúrio,Vênus,Terra,Marte,A,"Mercúrio é o planeta mais próximo do Sol, orbitando a uma distância média de 57,9 milhões de quilômetros.",1,Sistema Solar
q1003,pt,Quanto tempo a Lua leva para completar uma órbita ao redor da Terra?,7 dias,27 dias,30 dias,365 dias,B,"A Lua leva aproximadamente 27,3 dias para completar uma órbita ao redor da Terra, período chamado de mês sideral.",1,Lua
q1004,pt,Qual planeta é conhecido como o Planeta Vermelho?,Marte,Vênus,Júpiter,Saturno,A,"Marte é chamado de Planeta Vermelho devido ao óxido de ferro (ferrugem) presente em sua superfície, que lhe dá uma coloração avermelhada.",1,Sistema Solar
q1005,pt,O Sol é uma estrela ou um planeta?,Planeta,Estrela,Satélite,Asteroide,B,"O Sol é uma estrela de classe G, do tipo anã amarela, que fornece luz e energia para o Sistema Solar através de fusão nuclear.",1,Sol
q1006,pt,Qual é o maior planeta do Sistema Solar?,Terra,Saturno,Júpiter,Netuno,C,"Júpiter é o maior planeta do Sistema Solar, com diâmetro de aproximadamente 143.000 km, podendo conter mais de 1.300 Terras em seu volume.",1,Sistema Solar
q1007,pt,Por que vemos sempre o mesmo lado da Lua da Terra?,Rotação sincronizada,A Lua não gira,Gravidade terrestre forte,Ilusão de ótica,A,"A Lua possui rotação sincronizada com sua translação ao redor da Terra, levando o mesmo tempo para girar em torno de si mesma e orbitar nosso planeta.",2,Lua
q1008,pt,Qual planeta possui anéis visíveis da Terra?,Júpiter,Saturno,Urano,Netuno,B,"Saturno é famoso por seus espetaculares anéis visíveis da Terra, compostos principalmente de gelo e rochas.",1,Sistema Solar
q1010,pt,Qual é o menor planeta do Sistema Solar?,Mercúrio,Marte,Vênus,Plutão,A,"Mercúrio é o menor planeta do Sistema Solar, com diâmetro de cerca de 4.879 km, apenas um pouco maior que nossa Lua.",1,Sistema Solar
q1011,pt,O que causa as estações do ano na Terra?,Distância do Sol,Inclinação do eixo terrestre,Velocidade de rotação,Nuvens,B,"As estações são causadas pela inclinação de 23,5 graus do eixo terrestre, fazendo com que diferentes hemisférios recebam mais luz solar em diferentes épocas do ano.",2,Terra
q1012,pt,O que é um eclipse lunar?,Sol bloqueia a Lua,Terra bloqueia luz do Sol,Lua bloqueia o Sol,Marte passa na frente,B,"Eclipse lunar ocorre quando a Terra fica entre o Sol e a Lua, bloqueando a luz solar que normalmente ilumina a Lua.",2,Lua
q1013,pt,Qual planeta é conhecido por ter a Grande Mancha Vermelha?,Marte,Júpiter,Saturno,Netuno,B,A Grande Mancha Vermelha é uma tempestade gigante em Júpiter que existe há pelo menos 400 anos e tem tamanho suficiente para conter 2-3 Terras.,1,Sistema Solar
q1014,pt,O que é uma constelação?,Grupo de galáxias,Padrão de estrelas no céu,Tipo de asteroide,Sistema planetário,B,"Uma constelação é um padrão reconhecível de estrelas no céu noturno, usado historicamente para navegação e identificação.",1,Astronomia
q1016,pt,Qual é a fonte de energia do Sol?,Combustão de gás,Fusão nuclear,Fissão nuclear,Eletricidade,B,"O Sol produz energia através da fusão nuclear de átomos de hidrogênio em hélio no seu núcleo, liberando energia enorme no processo.",2,Sol
q1017,pt,Quantas luas Marte possui?,0,1,2,4,C,"Marte possui duas pequenas luas: Fobos e Deimos, descobertas em 1877 por Asaph Hall.",2,Sistema Solar
q1018,pt,Quanto tempo a luz do Sol leva para chegar à Terra?,8 segundos,8 minutos,8 horas,8 dias,B,A luz solar leva aproximadamente 8 minutos e 20 segundos para viajar os 150 milhões de quilômetros entre o Sol e a Terra.,2,Terra
q1019,pt,Qual planeta gira deitado de lado?,Marte,Júpiter,Urano,Netuno,C,"Urano possui uma inclinação axial de 98 graus, fazendo com que gire praticamente deitado de lado em relação ao plano de sua órbita.",2,Sistema Solar
q1020,pt,O que causa as marés nos oceanos da Terra?,Vento,Gravidade da Lua,Rotação da Terra,Terremotos,B,"As marés são causadas principalmente pela atração gravitacional da Lua sobre os oceanos terrestres, criando dois bojos de água.",2,Lua
q1021,pt,Qual é a cor de uma estrela mais quente?,Vermelha,Amarela,Branca,Azul,D,"Estrelas azuis são as mais quentes (acima de 30.000K), enquanto estrelas vermelhas são as mais frias (cerca de 3.000K). O Sol amarelo tem temperatura intermediária.",2,Estrelas
