topic,level,question,optionA,optionB,optionC,optionD,correctOption,explanation
Fermi Paradox,8,"According to recent theories, what might explain the Fermi Paradox?",Tectonic plates are rare,Advanced AI becomes the great filter,Civilizations destroy themselves,All of the above,D,"Recent theories suggest multiple explanations including rare tectonic plates, AI as a filter, and self-destruction of civilizations."
Galaxies,2,Approximately how many stars are in the Milky Way galaxy?,100 million,1 billion,100 billion,1 trillion,C,"The Milky Way contains an estimated 100-400 billion stars, with 100 billion being a commonly cited figure."
Black Holes,2,How are stellar-mass black holes formed?,From merging galaxies,From collapsing massive stars,From frozen planets,From white dwarfs cooling,B,Stellar-mass black holes form when massive stars collapse after a supernova.
Drake Equation,9,How does SETI use the Drake Equation?,Framework for research priorities,Calculation of exact numbers,Prediction of contact time,Design of detection equipment,A,SETI uses the Drake Equation as a framework for setting research priorities and strategies.
Drake Equation,8,How does the Drake Equation relate to the Fermi Paradox?,They contradict each other,They support each other,They address the same question,They are unrelated,C,Both the Drake Equation and Fermi Paradox address the question of why we haven't detected extraterrestrial intelligence.
Scientists,3,How long did both Albert Einstein and Stephen Hawking live?,74 years,76 years,78 years,80 years,B,Both Albert Einstein (1879-1955) and Stephen Hawking (1942-2018) lived for exactly 76 years.
Solar System,2,How long has the Curiosity rover been operating on Mars as of 2025?,11 years,13 years,15 years,17 years,B,The Curiosity rover has been operating on Mars for 13 years since landing in 2012.
Curiosities,3,How long is a day on Venus?,24 hours,243 Earth days,365 Earth days,1 Earth year,B,A day on Venus (one rotation) takes 243 Earth days longer than its year of 225 Earth days.
Curiosities,5,How many atoms are estimated in the observable universe?,About 10^80,About 10^50,About 10^100,About 10^120,A,The observable universe is estimated to contain approximately 10^80 atoms.
Curiosities,5,How many Earths could fit inside the Sun?,100,1000,100000,1.3 million,D,Approximately 1.3 million Earths could fit inside the Sun based on volume.
Curiosities,3,How many galaxies are estimated to be in the observable universe?,Millions,Billions,Hundreds of billions,Trillions,D,Current estimates suggest there are over 2 trillion galaxies in the observable universe.
Solar System,2,How many moons does Jupiter have according to the latest 2024 NASA data?,79,82,95,103,C,"Jupiter has 95 moons according to the latest 2024 NASA data, making it the planet with the most known moons."
Solar System,2,How many moons does Saturn have according to current data?,62,72,82,92,C,Saturn has 82 known moons according to current astronomical data.
Exoplanets,3,How many new alien worlds were discovered by astronomers in 2025?,Over 50,Over 75,Over 100,Over 150,C,"Astronomers discovered over 100 new alien worlds in 2025, showcasing the vast diversity of planetary systems."
Curiosities,3,How many officially recognized constellations are there?,48,88,108,144,B,There are 88 officially recognized constellations as defined by the International Astronomical Union.
Curiosities,2,How old is the Universe approximately?,4.6 billion years,13.8 billion years,20 billion years,100 billion years,B,"The Universe is approximately 13.8 billion years old, based on observations of the cosmic microwave background."
Solar System,3,In which crater did the Perseverance rover land on Mars?,Gale Crater,Jezero Crater,Victoria Crater,Eagle Crater,B,NASA's Perseverance rover landed in Jezero Crater in February 2021 to search for signs of ancient life.
Comets and Asteroids,4,What are carbonaceous chondrites?,Primitive meteorites with organic compounds,Iron meteorites,Stony meteorites,Martian meteorites,A,Carbonaceous chondrites are primitive meteorites containing organic compounds and water-bearing minerals.
Comets and Asteroids,2,What are comets primarily made of?,Rock and metal,Ice and dust,Gas and plasma,Pure ice,B,"Comets are ""dirty snowballs"" made primarily of ice, dust, and rocky material from the outer Solar System."
Relativity,8,What are gravitational waves?,Waves in space,Ripples in spacetime,Sound waves in space,Light waves bent by gravity,B,Gravitational waves are ripples in spacetime itself caused by accelerating massive objects.
Stars,4,What are the two main types of molecular clouds associated with star formation?,Giant and dwarf molecular clouds,Hot and cold molecular clouds,Dense and sparse molecular clouds,Young and old molecular clouds,A,Giant molecular clouds (GMCs) and dwarf molecular clouds are the two main types associated with star formation.
Comets and Asteroids,6,What are Trojan asteroids?,Asteroids that follow planets,Asteroids from Troy,Asteroids that orbit backwards,Asteroids made of metal,A,Trojan asteroids share an orbit with a planet staying at stable Lagrange points 60 degrees ahead or behind.
Relativity,8,What astronomical phenomenon provided the first confirmation of general relativity?,Solar eclipse observations,Planetary motion,Star formation,Galaxy rotation,A,"The 1919 solar eclipse observations showed light bending around the Sun, confirming Einstein's prediction of gravitational lensing."
Solar System,6,What causes the auroras on Jupiter?,Solar wind interaction,Volcanic activity on Io,Jupiter's rapid rotation,Gravitational tidal forces,A,Jupiter's auroras are caused by charged particles from the solar wind interacting with Jupiter's powerful magnetic field.
Stars,5,What color are the hottest stars?,Red,Yellow,White,Blue,D,"The hottest stars appear blue or blue-white, with surface temperatures exceeding 30,000 Kelvin."
Solar System,5,What connects Saturn's E ring to one of its moons?,Titan's atmosphere,Enceladus' geysers,Mimas' craters,Rhea's orbit,B,Saturn's E ring is connected to Enceladus through the moon's geyser activity that feeds particles into the ring.
Stars,6,What determines whether a core-collapse supernova is classified as Type II Ib or Ic?,The star's age,The star's temperature,The progenitor star's outer layers,The explosion energy,C,Core-collapse supernovae are classified based on the progenitor star's characteristics and outer hydrogen layers.
Relativity,7,What did Einstein's general theory of relativity predict about space and time?,They are separate entities,They form a unified spacetime,They don't exist,They are illusions,B,General relativity describes space and time as a unified four-dimensional spacetime that can be curved by mass and energy.
Scientists,5,What disease did Stephen Hawking overcome to become a renowned physicist?,Multiple sclerosis,ALS (Lou Gehrig's disease),Parkinson's disease,Muscular dystrophy,B,Stephen Hawking was diagnosed with ALS (amyotrophic lateral sclerosis) in 1963 but continued his groundbreaking work for decades.
Stars,3,What do reflection nebulae do to starlight?,Absorb it,Reflect it,Emit it,Bend it,B,Reflection nebulae reflect light from nearby stars creating beautiful blue-colored clouds in space.
Stars,4,What do supernovae create that is crucial for the universe?,Energy,Heavy elements,Black holes,Neutron stars,B,Supernovae create and distribute heavy elements throughout the universe essential for planet and life formation.
Drake Equation,7,"What does ""fc"" represent in the Drake Equation?",Fraction of civilizations,Fraction of communicating civilizations,Fraction of planets with continents,Fraction of carbon-based life,B,The parameter fc represents the fraction of civilizations that develop technology for interstellar communication.
Drake Equation,5,"What does ""L"" represent in the Drake Equation?",Length of planetary orbits,Lifetime of communicating civilizations,Light-years to nearest star,Level of technology,B,The parameter L represents the length of time that civilizations release detectable signals into space.
Drake Equation,7,"What does ""ne"" represent in the Drake Equation?",Number of Earths,Number of planets per star system,Number of electrons,Number of ecosystems,B,The parameter ne represents the average number of planets that could potentially support life per star.
Astrophysics,8,What does E = mc² mean?,Energy equals mass times speed,Energy is proportional to time,Energy equals mass times the speed of light squared,Energy increases with heat,C,Einstein’s formula shows mass and energy are equivalent.
Relativity,4,What does Einstein's famous equation E=mc² represent?,Energy equals mass times the speed of light,Mass-energy equivalence,The speed of light formula,The theory of gravity,B,"E=mc² represents mass-energy equivalence, showing that mass and energy are interchangeable."
Curiosities,1,What does space smell like according to astronauts?,Nothing (no smell),Flowers,Hot metal and welding fumes,Ozone,C,"Astronauts report that space (or rather, their spacesuits after spacewalks) smells like hot metal and welding fumes."
Exoplanets,4,What does TESS stand for?,Transiting Exoplanet Survey Satellite,Terrestrial Exoplanet Search System,Telescope for Exoplanet Spectral Studies,Transiting Earth-like Star Survey,A,TESS is the Transiting Exoplanet Survey Satellite that searches for exoplanets using the transit method.
Drake Equation,5,What does the Drake Equation estimate?,The number of stars in the galaxy,The number of communicating alien civilizations,The age of the universe,The speed of light,B,"The Drake Equation is a probabilistic argument used to estimate the number of active, communicating extraterrestrial civilizations in the Milky Way."
Fermi Paradox,3,What does the Fermi Paradox question?,How stars form,Where the aliens are,Why galaxies spin,What black holes are made of,B,It asks why we haven't found evidence of extraterrestrial civilizations despite the vast universe.
Drake Equation,6,"What does the parameter ""fl"" represent in the Drake Equation?",Fraction of planets with life,Fraction of life that becomes intelligent,Fraction of stars with planets,Fraction of intelligent life that communicates,A,The parameter fl represents the fraction of suitable planets on which life actually appears.
Exoplanets,2,"What does the term ""exoplanet"" mean?",A planet outside our galaxy,A planet outside our Solar System,A planet made of exotic matter,An exploded planet,B,An exoplanet is any planet that orbits a star outside our Solar System.
Comets and Asteroids,2,What gives a comet its tail?,Its magnetic field,Solar wind,Rotation speed,Gravity,B,"Solar wind and sunlight cause the comet’s ices to vaporize, forming a tail."
Black Holes,4,What happens at the photon sphere of a black hole?,Light escapes easily,Light orbits the black hole,Light is absorbed,Light is reflected,B,At the photon sphere light can orbit the black hole in circular paths due to extreme gravitational curvature.
Black Holes,2,What happens if you cross the event horizon of a black hole?,You can come back easily,Time stops for you,You can't escape,You see the entire universe,C,The event horizon is the point of no return—nothing escapes beyond it.
Relativity,4,What happens to length at high speeds?,It increases,It decreases,It stays the same,It oscillates,B,Length contraction occurs at high speeds where objects appear shorter in the direction of motion.
Stars,2,What happens to the core of a massive star during a supernova?,It expands,It collapses,It disappears,It cools down,B,During a core-collapse supernova the core of a massive star collapses rapidly before exploding.
Relativity,5,What happens to time as you approach the speed of light?,Time speeds up,Time slows down,Time stops,Time reverses,B,"According to special relativity, time dilation occurs as you approach the speed of light, causing time to slow down relative to stationary observers."
Comets and Asteroids,4,What happens when a comet approaches the Sun?,It melts completely,It develops a tail,It explodes,It changes orbit,B,"As a comet approaches the Sun, solar radiation causes ice to sublimate, creating the characteristic tail."
Stars,3,What happens when a massive star runs out of nuclear fuel?,It becomes a white dwarf,It explodes as a supernova,It becomes a red giant,It simply fades away,B,"When a massive star runs out of nuclear fuel, it collapses and explodes as a supernova, potentially forming a neutron star or black hole."
Black Holes,3,What is a black hole?,A region of space with gravity so strong that nothing can escape,A giant comet,A type of star that emits strong light,An asteroid belt,A,A black hole has gravity so intense that not even light can escape it.
Galaxies,6,What is a blazar?,Active galactic nucleus with jet toward Earth,Exploding galaxy,Binary galaxy system,Galaxy with no dark matter,A,A blazar is an active galactic nucleus with a relativistic jet pointed toward Earth making it extremely bright.
Stars,5,What is a blue straggler?,A star that appears younger than expected,A very hot white dwarf,A rapidly rotating neutron star,A binary star system,A,Blue stragglers are stars that appear younger and bluer than other stars in their cluster due to mass transfer or mergers.
Exoplanets,6,What is a circumbinary planet?,A planet with two moons,A planet orbiting two stars,A planet with rings,A planet in a binary system,B,A circumbinary planet orbits around both stars in a binary star system.
Galaxies,3,What is a dwarf galaxy?,A very small galaxy,A very dense galaxy,A very young galaxy,A very old galaxy,A,A dwarf galaxy is a small galaxy containing only a few billion stars compared to hundreds of billions in larger galaxies.
Galaxies,5,What is a galaxy cluster?,A group of stars,A group of galaxies,A group of planets,A group of nebulae,B,A galaxy cluster is a gravitationally bound collection of hundreds to thousands of galaxies.
Exoplanets,4,What is a hot Jupiter?,A very hot star,A Jupiter-like planet close to its star,A planet made of hot gas,A star similar to Jupiter,B,A hot Jupiter is a gas giant exoplanet that orbits very close to its host star.
Comets and Asteroids,1,What is a key difference between comets and asteroids?,Comets have tails; asteroids do not,Asteroids are icy,Comets orbit Earth,Asteroids are found in the Kuiper Belt,A,Comets have tails when near the Sun due to sublimation of ices.
Astrophysics,2,What is a light-year a measure of?,Time,Distance,Mass,Brightness,B,A light-year measures the distance light travels in one year.
Comets and Asteroids,3,What is a meteor shower?,Earth passing through comet debris,Asteroid fragments,Solar particles,Cosmic dust,A,Meteor showers occur when Earth passes through debris trails left by comets creating multiple meteors from the same radiant.
Exoplanets,5,What is a mini-Neptune?,Planet between Earth and Neptune size,Small version of Neptune,Neptune's moon,Neptune-like atmosphere,A,Mini-Neptunes are planets with radii between Earth and Neptune common among discovered exoplanets.
Comets and Asteroids,4,What is a near-Earth object (NEO)?,An object near Earth's surface,An asteroid or comet with an orbit close to Earth,A satellite of Earth,A piece of space debris,B,A near-Earth object is an asteroid or comet whose orbit brings it close to Earth's orbit.
Astrophysics,5,What is a neutron star?,A dense gas cloud,Collapsed core of a massive star,A baby star,A rogue planet,B,Neutron stars are remnants of supernova explosions from massive stars.
Galaxies,6,What is a quasar?,A type of star,An active galactic nucleus,A type of planet,A stellar explosion,B,A quasar is an extremely luminous active galactic nucleus powered by a supermassive black hole.
Galaxies,4,What is a starburst galaxy?,A galaxy forming many stars rapidly,A galaxy with exploding stars,A galaxy shaped like a star,A galaxy orbiting a star,A,A starburst galaxy is undergoing an exceptionally high rate of star formation.
