baseId,topic,question,level,optionA,optionB,optionC,optionD,correctOption,explanation
q1001,Sistema Solar,Quantos planetas existem no Sistema Solar?,1,7,8,9,10,B,"O Sistema Solar possui 8 planetas: Mercúrio, Vênus, Terra, Marte, Júpiter, Saturno, Urano e Netuno. Plutão foi reclassificado como planeta anão em 2006."
q1002,Sistema Solar,Qual é o planeta mais próximo do Sol?,1,Mercúrio,Vênus,Terra,Marte,A,"Mercúrio é o planeta mais próximo do Sol, orbitando a uma distância média de 57,9 milhões de quilômetros."
q1003,Lua,Quanto tempo a Lua leva para completar uma órbita ao redor da Terra?,1,7 dias,27 dias,30 dias,365 dias,B,"A Lua leva aproximadamente 27,3 dias para completar uma órbita ao redor da Terra, período chamado de mês sideral."
q1004,Sistema Solar,Qual planeta é conhecido como o Planeta Vermelho?,1,Marte,Vênus,Júpiter,Saturno,A,"Marte é chamado de Planeta Vermelho devido ao óxido de ferro (ferrugem) presente em sua superfície, que lhe dá uma coloração avermelhada."
q1005,Sol,O Sol é uma estrela ou um planeta?,1,Planeta,Estrela,Satélite,Asteroide,B,"O Sol é uma estrela de classe G, do tipo anã amarela, que fornece luz e energia para o Sistema Solar através de fusão nuclear."
q1006,Sistema Solar,Qual é o maior planeta do Sistema Solar?,1,Terra,Saturno,Júpiter,Netuno,C,"Júpiter é o maior planeta do Sistema Solar, com diâmetro de aproximadamente 143.000 km, podendo conter mais de 1.300 Terras em seu volume."
q1007,Lua,Por que vemos sempre o mesmo lado da Lua da Terra?,2,Rotação sincronizada,A Lua não gira,Gravidade terrestre forte,Ilusão de ótica,A,"A Lua possui rotação sincronizada com sua translação ao redor da Terra, levando o mesmo tempo para girar em torno de si mesma e orbitar nosso planeta."
q1008,Sistema Solar,Qual planeta possui anéis visíveis da Terra?,1,Júpiter,Saturno,Urano,Netuno,B,"Saturno é famoso por seus espetaculares anéis visíveis da Terra, compostos principalmente de gelo e rochas."
q1009,Estrelas,Qual é a estrela mais próxima da Terra?,1,Sirius,Próxima Centauri,Betelgeuse,O Sol,D,"O Sol é a estrela mais próxima da Terra, localizada a aproximadamente 150 milhões de quilômetros (1 UA - Unidade Astronômica)."
q1010,Sistema Solar,Qual é o menor planeta do Sistema Solar?,1,Mercúrio,Marte,Vênus,Plutão,A,"Mercúrio é o menor planeta do Sistema Solar, com diâmetro de cerca de 4.879 km, apenas um pouco maior que nossa Lua."
q1011,Terra,O que causa as estações do ano na Terra?,2,Distância do Sol,Inclinação do eixo terrestre,Velocidade de rotação,Nuvens,B,"As estações são causadas pela inclinação de 23,5 graus do eixo terrestre, fazendo com que diferentes hemisférios recebam mais luz solar em diferentes épocas do ano."
q1012,Lua,O que é um eclipse lunar?,2,Sol bloqueia a Lua,Terra bloqueia luz do Sol,Lua bloqueia o Sol,Marte passa na frente,B,"Eclipse lunar ocorre quando a Terra fica entre o Sol e a Lua, bloqueando a luz solar que normalmente ilumina a Lua."
q1013,Sistema Solar,Qual planeta é conhecido por ter a Grande Mancha Vermelha?,1,Marte,Júpiter,Saturno,Netuno,B,"A Grande Mancha Vermelha é uma tempestade gigante em Júpiter que existe há pelo menos 400 anos e tem tamanho suficiente para conter 2-3 Terras."
q1014,Astronomia,O que é uma constelação?,1,Grupo de galáxias,Padrão de estrelas no céu,Tipo de asteroide,Sistema planetário,B,"Uma constelação é um padrão reconhecível de estrelas no céu noturno, usado historicamente para navegação e identificação."
q1015,Sistema Solar,Qual é o planeta mais quente do Sistema Solar?,2,Mercúrio,Vênus,Marte,Terra,B,"Vênus é o planeta mais quente, com temperatura superficial de cerca de 465°C, devido ao intenso efeito estufa de sua atmosfera de CO2."
q1016,Sol,Qual é a fonte de energia do Sol?,2,Combustão de gás,Fusão nuclear,Fissão nuclear,Eletricidade,B,"O Sol produz energia através da fusão nuclear de átomos de hidrogênio em hélio no seu núcleo, liberando energia enorme no processo."
q1017,Sistema Solar,Quantas luas Marte possui?,2,0,1,2,4,C,"Marte possui duas pequenas luas: Fobos e Deimos, descobertas em 1877 por Asaph Hall."
q1018,Terra,Quanto tempo a luz do Sol leva para chegar à Terra?,2,8 segundos,8 minutos,8 horas,8 dias,B,"A luz solar leva aproximadamente 8 minutos e 20 segundos para viajar os 150 milhões de quilômetros entre o Sol e a Terra."
q1019,Sistema Solar,Qual planeta gira deitado de lado?,2,Marte,Júpiter,Urano,Netuno,C,"Urano possui uma inclinação axial de 98 graus, fazendo com que gire praticamente deitado de lado em relação ao plano de sua órbita."
q1020,Lua,O que causa as marés nos oceanos da Terra?,2,Vento,Gravidade da Lua,Rotação da Terra,Terremotos,B,"As marés são causadas principalmente pela atração gravitacional da Lua sobre os oceanos terrestres, criando dois bojos de água."
q1021,Estrelas,Qual é a cor de uma estrela mais quente?,2,Vermelha,Amarela,Branca,Azul,D,"Estrelas azuis são as mais quentes (acima de 30.000K), enquanto estrelas vermelhas são as mais frias (cerca de 3.000K). O Sol amarelo tem temperatura intermediária."
q1022,Sistema Solar,Qual é o planeta com mais luas conhecidas?,2,Terra,Marte,Júpiter,Saturno,D,"Saturno possui o maior número de luas confirmadas, com mais de 140 satélites naturais conhecidos, superando Júpiter."
q1023,Astronomia,O que é um cometa?,1,Estrela cadente,Bola de gelo e rocha,Planeta pequeno,Lua gigante,B,"Um cometa é um corpo celeste composto de gelo, rochas e poeira que desenvolve uma cauda brilhante quando se aproxima do Sol."
q1024,Via Láctea,Em qual galáxia o Sistema Solar está localizado?,1,Andrômeda,Via Láctea,Triângulo,Sombrero,B,"O Sistema Solar está localizado na galáxia Via Láctea, mais especificamente no Braço de Órion, a cerca de 26.000 anos-luz do centro galáctico."
q1025,Sistema Solar,Qual planeta tem o dia mais longo?,2,Mercúrio,Vênus,Terra,Júpiter,B,"Vênus tem o dia mais longo de todos os planetas, levando 243 dias terrestres para completar uma rotação, mais tempo que sua translação de 225 dias."
q1026,Lua,Quantas fases principais a Lua possui?,1,2,4,6,8,B,"A Lua possui 4 fases principais: Nova, Crescente, Cheia e Minguante, completando um ciclo em aproximadamente 29,5 dias."
q1027,Terra,Qual é o nome do movimento da Terra ao redor do Sol?,1,Rotação,Translação,Precessão,Nutação,B,"Translação é o movimento da Terra ao redor do Sol, que leva 365,25 dias para completar e causa as estações do ano."
q1028,Sistema Solar,Qual é a maior lua do Sistema Solar?,2,Nossa Lua,Europa,Titã,Ganimedes,D,"Ganimedes, lua de Júpiter, é a maior lua do Sistema Solar com 5.268 km de diâmetro, maior até que o planeta Mercúrio."
q1029,Astronomia,O que é uma estrela cadente?,1,Estrela caindo,Meteoro entrando na atmosfera,Cometa passando,Satélite artificial,B,"Estrela cadente é na verdade um meteoro, pequeno fragmento de rocha ou metal que queima ao entrar em alta velocidade na atmosfera terrestre."
q1030,Sistema Solar,Qual planeta é conhecido por seus anéis?,1,Marte,Júpiter,Saturno,Vênus,C,"Saturno é famoso por seu magnífico sistema de anéis, visível até com pequenos telescópios da Terra."
q1031,Sol,De que o Sol é feito principalmente?,1,Rochas,Água,Hidrogênio e Hélio,Oxigênio,C,"O Sol é composto principalmente de hidrogênio (cerca de 73%) e hélio (cerca de 25%), com traços de elementos mais pesados."
q1032,Sistema Solar,Qual planeta tem a Grande Tempestade Escura?,2,Júpiter,Saturno,Urano,Netuno,D,"Netuno apresenta periodicamente grandes tempestades escuras em sua atmosfera, similares à Grande Mancha Vermelha de Júpiter mas temporárias."
q1033,Terra,Qual é a velocidade de rotação da Terra?,2,Cerca de 100 km/h,Cerca de 500 km/h,Cerca de 1.600 km/h,Cerca de 5.000 km/h,C,"No equador, a Terra gira a aproximadamente 1.670 km/h, velocidade que diminui conforme nos aproximamos dos polos."
q1034,Lua,O que acontece durante um eclipse solar?,2,Terra entre Sol e Lua,Lua entre Sol e Terra,Sol entre Terra e Lua,Marte passa na frente,B,"Eclipse solar ocorre quando a Lua passa entre a Terra e o Sol, bloqueando total ou parcialmente a luz solar."
