baseId,topic,question,level,optionA,optionB,optionC,optionD,correctOption,explanation
q1001,Solar System,"How many planets are there in the Solar System?",1,7,8,9,10,B,"The Solar System has 8 planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune. Pluto was reclassified as a dwarf planet in 2006."
q1002,Solar System,"Which planet is closest to the Sun?",1,Mercury,Venus,Earth,Mars,A,"Mercury is the planet closest to the Sun, orbiting at an average distance of 57.9 million kilometers."
q1003,Moon,"How long does the Moon take to complete one orbit around Earth?",1,7 days,27 days,30 days,365 days,B,"The Moon takes approximately 27.3 days to complete one orbit around Earth, a period called the sidereal month."
q1004,Solar System,"Which planet is known as the Red Planet?",1,Mars,Venus,Jupiter,Saturn,A,"Mars is called the Red Planet due to iron oxide (rust) present on its surface, giving it a reddish color."
q1005,Sun,"Is the Sun a star or a planet?",1,Planet,Star,Satellite,Asteroid,B,"The Sun is a G-class star, a yellow dwarf type, that provides light and energy to the Solar System through nuclear fusion."
q1006,Solar System,"What is the largest planet in the Solar System?",1,Earth,Saturn,Jupiter,Neptune,C,"Jupiter is the largest planet in the Solar System, with a diameter of approximately 143,000 km, capable of containing more than 1,300 Earths in its volume."
q1007,Moon,"Why do we always see the same side of the Moon from Earth?",2,Synchronous rotation,The Moon doesn't rotate,Strong Earth gravity,Optical illusion,A,"The Moon has synchronous rotation with its orbit around Earth, taking the same time to rotate on its axis and orbit our planet."
q1008,Solar System,"Which planet has rings visible from Earth?",1,Jupiter,Saturn,Uranus,Neptune,B,"Saturn is famous for its spectacular rings visible from Earth, composed mainly of ice and rocks."
q1010,Solar System,"What is the smallest planet in the Solar System?",1,Mercury,Mars,Venus,Pluto,A,"Mercury is the smallest planet in the Solar System, with a diameter of about 4,879 km, only slightly larger than our Moon."
q1011,Earth,"What causes the seasons on Earth?",2,Distance from Sun,Earth's axial tilt,Rotation speed,Clouds,B,"Seasons are caused by the 23.5-degree tilt of Earth's axis, making different hemispheres receive more sunlight at different times of the year."
q1012,Moon,"What is a lunar eclipse?",2,Sun blocks Moon,Earth blocks sunlight,Moon blocks Sun,Mars passes in front,B,"A lunar eclipse occurs when Earth is between the Sun and Moon, blocking the sunlight that normally illuminates the Moon."
q1013,Solar System,"Which planet is known for having the Great Red Spot?",1,Mars,Jupiter,Saturn,Neptune,B,"The Great Red Spot is a giant storm on Jupiter that has existed for at least 400 years and is large enough to contain 2-3 Earths."
q1014,Astronomy,"What is a constellation?",1,Group of galaxies,Pattern of stars in the sky,Type of asteroid,Planetary system,B,"A constellation is a recognizable pattern of stars in the night sky, historically used for navigation and identification."
q1016,Sun,"What is the Sun's energy source?",2,Gas combustion,Nuclear fusion,Nuclear fission,Electricity,B,"The Sun produces energy through nuclear fusion of hydrogen atoms into helium in its core, releasing enormous energy in the process."
q1017,Solar System,"How many moons does Mars have?",2,0,1,2,4,C,"Mars has two small moons: Phobos and Deimos, discovered in 1877 by Asaph Hall."
q1018,Earth,"How long does sunlight take to reach Earth?",2,8 seconds,8 minutes,8 hours,8 days,B,"Sunlight takes approximately 8 minutes and 20 seconds to travel the 150 million kilometers between the Sun and Earth."
q1019,Solar System,"Which planet rotates lying on its side?",2,Mars,Jupiter,Uranus,Neptune,C,"Uranus has an axial tilt of 98 degrees, making it rotate practically lying on its side relative to the plane of its orbit."
