"ID","Topic","Level","Question","OptionA","OptionB","OptionC","OptionD","CorrectOption","Explanation"
"L0EUB67hDfDorhHY0hor","Black Holes","1","What happens if you cross the event horizon of a black hole?","","","","","C","The event horizon is the point of no return—nothing escapes beyond it."
"REGy2SViUmIAP0lqFfjt","Black Holes","1","How are stellar-mass black holes formed?","","","","","B","Stellar-mass black holes form when massive stars collapse after a supernova."
"Y6V2XSBJzcvEf4IP9YFP","Black Holes","1","What lies at the center of a black hole?","","","","","C","The singularity is a point of infinite density at the center of a black hole."
"grCQH6BdDFX53XbiNKLM","Black Holes","1","What is the name of the boundary around a black hole?","","","","","B","The event horizon marks the boundary beyond which nothing can escape a black hole."
"wUWe9WzxEnQpniKCltkL","Black Holes","1","What is a black hole?","","","","","A","A black hole has gravity so intense that not even light can escape it."
"LlY9bCC885QTNQkgyxUp","Comets and Asteroids","1","What is a key difference between comets and asteroids?","","","","","A","Comets have tails when near the Sun due to sublimation of ices."
"zsWCuHIinEMln7JFpybc","Curiosidades","1","Qual astro é conhecido como "Estrela da Manhã"?","","","","","A","Vênus aparece brilhante pouco antes do amanhecer."
"dYqFe34euUzvC8gtCmQw","Relativity","1","Who developed the theory of General Relativity?","","","","","C","Einstein's theory explains gravity as the curvature of spacetime."
"3dbDqGvNweRhgr8HGz73","Sistema Solar","1","Qual é o maior planeta do sistema solar?","","","","","B","Júpiter é o maior planeta em diâmetro e massa."
"hAKMmBrqq2hmHU3zv7z2","Sistema Solar","1","Qual planeta tem os maiores anéis?","","","","","C","Saturno é conhecido por seus anéis amplos e visíveis."
"3i5ZleIsSCpk6osCGpVD","Stars","1","What is the final stage of a massive star's life?","","","","","B","Massive stars may end as neutron stars or black holes after a supernova explosion."
"1xWDQXK1fptUP2XvPQm9","Black Holes","2","What is the name of the boundary around a black hole?","","","","","B","The event horizon marks the boundary beyond which nothing can escape a black hole."
"K3SJL0BDLU4fOKXqffsf","Black Holes","2","How are stellar-mass black holes formed?","","","","","B","Stellar-mass black holes form when massive stars collapse after a supernova."
